i1 i2 i0 a
0 0 7 3
0 1 7 1
0 2 7 1
0 3 7 1
0 4 7 1
0 5 7 3
0 6 7 3
0 7 7 3
0 8 7 3
0 9 7 3
0 10 7 3
0 11 7 3
0 12 7 3
1 0 7 2
1 1 7 0
1 2 7 0
1 3 7 0
1 4 7 0
1 5 7 0
1 6 7 0
1 7 7 0
1 8 7 0
1 9 7 0
1 10 7 0
1 11 7 0
1 12 7 2
2 0 7 3
2 1 7 0
2 2 7 0
2 3 7 0
2 4 7 0
2 5 7 0
2 6 7 0
2 7 7 0
2 8 7 0
2 9 7 0
2 10 7 0
2 11 7 0
2 12 7 3
3 0 7 3
3 1 7 0
3 2 7 0
3 3 7 0
3 4 7 0
3 5 7 0
3 6 7 0
3 7 7 0
3 8 7 0
3 9 7 3
3 10 7 3
3 11 7 3
3 12 7 3
4 0 7 3
4 1 7 1
4 2 7 0
4 3 7 1
4 4 7 1
4 5 7 3
4 6 7 3
4 7 7 3
4 8 7 3
4 9 7 3
4 10 7 3
4 11 7 3
4 12 7 3
5 0 7 3
5 1 7 1
5 2 7 1
5 3 7 1
5 4 7 3
5 5 7 3
5 6 7 3
5 7 7 3
5 8 7 3
5 9 7 3
5 10 7 3
5 11 7 3
5 12 7 3
6 0 7 3
6 1 7 1
6 2 7 1
6 3 7 1
6 4 7 3
6 5 7 3
6 6 7 3
6 7 7 3
6 8 7 3
6 9 7 3
6 10 7 3
6 11 7 3
6 12 7 3
7 0 7 3
7 1 7 1
7 2 7 1
7 3 7 3
7 4 7 3
7 5 7 3
7 6 7 3
7 7 7 3
7 8 7 3
7 9 7 3
7 10 7 3
7 11 7 3
7 12 7 3
8 0 7 3
8 1 7 1
8 2 7 1
8 3 7 3
8 4 7 3
8 5 7 3
8 6 7 3
8 7 7 3
8 8 7 3
8 9 7 3
8 10 7 3
8 11 7 3
8 12 7 3
9 0 7 3
9 1 7 1
9 2 7 1
9 3 7 3
9 4 7 3
9 5 7 3
9 6 7 3
9 7 7 3
9 8 7 3
9 9 7 3
9 10 7 3
9 11 7 3
9 12 7 3
10 0 7 3
10 1 7 1
10 2 7 3
10 3 7 3
10 4 7 3
10 5 7 3
10 6 7 3
10 7 7 3
10 8 7 3
10 9 7 3
10 10 7 3
10 11 7 3
10 12 7 3
11 0 7 3
11 1 7 1
11 2 7 3
11 3 7 3
11 4 7 3
11 5 7 3
11 6 7 3
11 7 7 3
11 8 7 3
11 9 7 3
11 10 7 3
11 11 7 3
11 12 7 3
12 0 7 3
12 1 7 1
12 2 7 3
12 3 7 3
12 4 7 3
12 5 7 3
12 6 7 3
12 7 7 3
12 8 7 3
12 9 7 3
12 10 7 3
12 11 7 3
12 12 7 3
